FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20027963-1078.out:result,../../../instances/NEP_knapsack_instances/4-30-8-weakcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,65,332,3599.96,0
slurm_20027963-1079.out:result,../../../instances/NEP_knapsack_instances/4-30-8-weakcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,51,328,3599.96,0
slurm_20027963-107.out:result,../../../instances/NEP_knapsack_instances/2-20-5-strongcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,3,0,1.04994,0
slurm_20027963-1080.out:result,../../../instances/NEP_knapsack_instances/4-30-8-weakcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,49,246,3599.94,0
slurm_20027963-1081.out:result,../../../instances/NEP_knapsack_instances/4-40-2-strongcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,160,174,3599.92,0
slurm_20027963-1082.out:result,../../../instances/NEP_knapsack_instances/4-40-2-strongcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,106,124,3599.92,0
slurm_20027963-1083.out:result,../../../instances/NEP_knapsack_instances/4-40-2-strongcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,190,164,3599.92,0
slurm_20027963-1084.out:result,../../../instances/NEP_knapsack_instances/4-40-2-strongcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,70,120,3599.92,0
slurm_20027963-1085.out:result,../../../instances/NEP_knapsack_instances/4-40-2-strongcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,274,172,3599.92,0
slurm_20027963-1086.out:result,../../../instances/NEP_knapsack_instances/4-40-2-uncorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,78,193,3599.93,0
