FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20025748-1074.out:result,../../../instances/NEP_knapsack_instances/4-30-8-uncorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,6289,82,3599.92,0
slurm_20025748-1075.out:result,../../../instances/NEP_knapsack_instances/4-30-8-uncorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,7990,96,3599.92,0
slurm_20025748-1076.out:result,../../../instances/NEP_knapsack_instances/4-30-8-weakcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,13762,70,3599.92,0
slurm_20025748-1077.out:result,../../../instances/NEP_knapsack_instances/4-30-8-weakcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,5583,137,3599.93,0
slurm_20025748-1078.out:result,../../../instances/NEP_knapsack_instances/4-30-8-weakcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,5166,117,3599.92,0
slurm_20025748-1079.out:result,../../../instances/NEP_knapsack_instances/4-30-8-weakcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,5792,139,3599.93,0
slurm_20025748-107.out:result,../../../instances/NEP_knapsack_instances/2-20-5-strongcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1743,80,34.7208,0
slurm_20025748-1080.out:result,../../../instances/NEP_knapsack_instances/4-30-8-weakcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,4683,114,3599.92,0
slurm_20025748-1081.out:result,../../../instances/NEP_knapsack_instances/4-40-2-strongcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,46738,30,3599.91,0
slurm_20025748-1082.out:result,../../../instances/NEP_knapsack_instances/4-40-2-strongcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,28016,52,3599.91,0
